library,candidate_count,scenario,method,sample_seed,truth_signature,truth_candidate_index,truth_in_library,true_main_scale_audit_only,best_index,best_candidate,best_is_truth,candidate_set,candidate_set_size,truth_in_candidate_set,decision_state,decision_reason,correct_unique,false_unique,domain_relative_distance,domain_threshold,domain_accepted,d1,margin,top1_confidence,normalized_entropy,calibration_identity,decision_time_s
scale_small,3,in_domain,M0_stage7a_original,550101001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.980068395436998,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.190315202241667,0.421770421161142,1,0.0722606075913315,0.123870250272351,0.91650956293487,0.314025449710169,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.006385
scale_small,3,in_domain,M1_stage7a1_split,550101001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.980068395436998,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.190315202241667,0.425114098518979,1,0.0722606075913315,0.123870250272351,0.952900340996079,0.202490097009543,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.002938
scale_small,3,in_domain,M2_class_conditional,550101001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.980068395436998,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.190315202241667,0.417429625612515,1,0.0722606075913315,0.123870250272351,0.957283947271036,0.187527011482413,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.00054
scale_small,3,in_domain,M3_pooled_empirical,550101001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.980068395436998,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.190315202241667,0.417429625612515,1,0.0722606075913315,0.123870250272351,0.976140966155751,0.117588756377,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.000269
scale_small,3,in_domain,M2R_class_risk_gated,550101001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.980068395436998,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.190315202241667,0.417429625612515,1,0.0722606075913315,0.123870250272351,0.957283947271036,0.187527011482413,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.000398
scale_small,3,in_domain,M3R_pooled_risk_gated,550101001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.980068395436998,1,G001,1,"G001",1,1,LOW_CONFIDENCE,independent_selective_risk_gate_not_certified,0,0,0.190315202241667,0.417429625612515,1,0.0722606075913315,0.123870250272351,0.976140966155751,0.117588756377,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.000612
scale_small,3,in_domain,M0_stage7a_original,550101002,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.984483292269575,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.352468768139419,0.421770421161142,1,0.134686820927741,0.0759839908275491,0.778063022372662,0.621144606972805,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.001475
scale_small,3,in_domain,M1_stage7a1_split,550101002,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.984483292269575,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.352468768139419,0.425114098518979,1,0.134686820927741,0.0759839908275491,0.837428664567385,0.505883203269277,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.00119
scale_small,3,in_domain,M2_class_conditional,550101002,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.984483292269575,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.352468768139419,0.417429625612515,1,0.134686820927741,0.0759839908275491,0.846000531289786,0.487435746570513,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.000495
scale_small,3,in_domain,M3_pooled_empirical,550101002,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.984483292269575,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.352468768139419,0.417429625612515,1,0.134686820927741,0.0759839908275491,0.889156363612312,0.386224062900264,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.000286
scale_small,3,in_domain,M2R_class_risk_gated,550101002,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.984483292269575,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.352468768139419,0.417429625612515,1,0.134686820927741,0.0759839908275491,0.846000531289786,0.487435746570513,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.00022
scale_small,3,in_domain,M3R_pooled_risk_gated,550101002,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.984483292269575,1,G001,1,"G001",1,1,LOW_CONFIDENCE,independent_selective_risk_gate_not_certified,0,0,0.352468768139419,0.417429625612515,1,0.134686820927741,0.0759839908275491,0.889156363612312,0.386224062900264,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.000185
scale_small,3,in_domain,M0_stage7a_original,550101003,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.993921725885082,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.227273396939321,0.421770421161142,1,0.0871503810764479,0.110918204202119,0.886673734569003,0.393158005921192,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.005492
scale_small,3,in_domain,M1_stage7a1_split,550101003,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.993921725885082,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.227273396939321,0.425114098518979,1,0.0871503810764479,0.110918204202119,0.930973333216385,0.272095092267461,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.000867
scale_small,3,in_domain,M2_class_conditional,550101003,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.993921725885082,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.227273396939321,0.417429625612515,1,0.0871503810764479,0.110918204202119,0.936602609541278,0.254982712574396,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.000626
scale_small,3,in_domain,M3_pooled_empirical,550101003,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.993921725885082,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.227273396939321,0.417429625612515,1,0.0871503810764479,0.110918204202119,0.961910321999242,0.171308007727051,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.000217
scale_small,3,in_domain,M2R_class_risk_gated,550101003,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.993921725885082,1,G001,1,"G001",1,1,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,1,0,0.227273396939321,0.417429625612515,1,0.0871503810764479,0.110918204202119,0.936602609541278,0.254982712574396,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.000446
scale_small,3,in_domain,M3R_pooled_risk_gated,550101003,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,0.993921725885082,1,G001,1,"G001",1,1,LOW_CONFIDENCE,independent_selective_risk_gate_not_certified,0,0,0.227273396939321,0.417429625612515,1,0.0871503810764479,0.110918204202119,0.961910321999242,0.171308007727051,03d6841da3b3e2a303fb7ddf1bdecfcd7850b0ec21e64bc98b6e1fe050ca52a5,0.000639
