stage,artifact_role,relative_path,file_size_bytes,sha256,source_tree_hash,configuration_hash,experiment_hash,git_head_at_run,canonical_status,used_for_formal_report,notes
Stage 4A Freeze-R.1,freeze_identity_or_summary,results/data/stage4a_freeze_r1/freeze_summary_formal.csv,627,02fdcf2a0e138941cfd01b3930556557b2b7bed661c53e40b3e575247e9333dd,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,history_or_smoke,0,Freeze-R.1 generated artifact.
Stage 4A Freeze-R.1,freeze_identity_or_summary,results/data/stage4a_freeze_r1/freeze_summary_smoke.csv,614,d01aaee5293807628cd5aab88c2a1295cefb4f70f81d596397947376bd1d2cfc,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,history_or_smoke,0,Freeze-R.1 generated artifact.
Stage 4A Freeze-R.1,freeze_identity_or_summary,results/data/stage4a_freeze_r1/historical_artifact_status.csv,508,9435be9e5e20bf1d72e72fa005374f1ab4b0c5b341d464005ebecb64d9310f78,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,history_or_smoke,0,Freeze-R.1 generated artifact.
Stage 4A Freeze-R.1,r2_1_2_archive,results/data/stage4a_freeze_r1/r2_1_2/bootstrap_row_vs_cluster_audit.csv,949,9cb2b1712ace727c4e92e0e6a939927d428a2ea37d6c49710491e8350bd70c45,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,canonical,1,Freeze-R.1 generated artifact.
Stage 4A Freeze-R.1,r2_1_2_archive,results/data/stage4a_freeze_r1/r2_1_2/canonical_manifest.csv,14886,79fb679d428cbca94fe6ea18d1484cd6341a50c34b83b6503d83827296ae9fa4,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,canonical,1,Freeze-R.1 generated artifact.
Stage 4A Freeze-R.1,r2_1_2_archive,results/data/stage4a_freeze_r1/r2_1_2/category_semantics.csv,415,52f47d1e63d4ae08b2deba42a4e23f72a54a3e7e46791d893d02c5b782ff9ac1,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,canonical,1,Freeze-R.1 generated artifact.
Stage 4A Freeze-R.1,r2_1_2_archive,results/data/stage4a_freeze_r1/r2_1_2/method_selection_cluster_bootstrap.csv,1193,5d00b3d2132a94f4564d3c04624bf7f0c1ea3cd8d2dcddfdf9fe2df8c0d0b8a4,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,canonical,1,Freeze-R.1 generated artifact.
Stage 4A Freeze-R.1,r2_1_2_archive,results/data/stage4a_freeze_r1/r2_1_2/method_selection_cluster_comparisons.csv,11154,3038f2fed5d63e3abc29a0c6e98b21a3fe7424f01496835e54fb1f840883dc8e,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,canonical,1,Freeze-R.1 generated artifact.
Stage 4A Freeze-R.1,r2_1_2_archive,results/data/stage4a_freeze_r1/r2_1_2/source_result_status.csv,465,217ee1ebaadd09b69b0ecd7cfdb0ee84c516e7a2aa28fed5c3cf00101cf481f8,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,canonical,1,Freeze-R.1 generated artifact.
Stage 4A Freeze-R.1,r2_1_2_archive,results/data/stage4a_freeze_r1/r2_1_2/summary.csv,647,01b5cf014b6212e6a54d899cf18a95761126c22de912ae8fb6d684afdb3dd8df,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,canonical,1,Freeze-R.1 generated artifact.
Stage 4A Freeze-R.1,r2_1_2_archive,results/data/stage4a_freeze_r1/r2_1_2/summary.mat,13167,1b8b1b6b54c0b4f899b040d8044a13605e1a3a02a697233de8fb61fe3e34dc58,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,canonical,1,Compact summary; frozen inputs are referenced read-only.
Stage 4A Freeze-R.1,stage4a7_3_formal,results/data/stage4a_freeze_r1/stage4a7_3/formal/development_method_selection.csv,2933,7d140989d48a05092d192b1909816a1bccfe329f0d9342f2f8e42fe63175f376,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,canonical,1,Freeze-R.1 generated artifact.
Stage 4A Freeze-R.1,stage4a7_3_formal,results/data/stage4a_freeze_r1/stage4a7_3/formal/domain_validation_metrics.csv,53712,378f5b52d2b8fad55167fce19c0066d01ad9c206e5002439a4072b6164f9f693,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,0a3f215400ce715684eb98cdce75ccbda7301b84,canonical,1,Freeze-R.1 generated artifact.
