relative_path,sha256,size_bytes,artifact_type
results/data/stage7a_6/formal/budget_05/calibration.csv,9455868306d91e71094c75cc8129c316e8af2549ef4c70a7ea14449600956a93,1521,csv
results/data/stage7a_6/formal/budget_05/candidate_audit.csv,4c02313ae98993595f87ebb43d764ef4a7e8565bf4b7322745e6ace926b84957,572417,csv
results/data/stage7a_6/formal/budget_05/config_snapshot.mat,9cdf353c0441c2203d7f8c6ddf97092a6c208e5674167fc2f784c6716db237a5,3935,mat
results/data/stage7a_6/formal/budget_05/metadata.csv,8f41677fdf31c6444209603b096d16412c74dbdd9edf0e8e4db4256b8841fbd1,582,csv
results/data/stage7a_6/formal/budget_05/samples.csv,6ebc77e87ae3ea3616ad46b667e261ae96290126567fe73491509df4f6539150,366440,csv
results/data/stage7a_6/formal/budget_05/seed_manifest.csv,cb7c9db8a5a31c1d80b0a987be30f0fada794b242fbed9a856db0756020041e0,203,csv
results/data/stage7a_6/formal/budget_05/source_inventory.csv,b689c5f4b841a95aefb9613b87139a99ff8d54aa1f7fc0f54c8c954627631423,1482,csv
results/data/stage7a_6/formal/budget_05/summary.csv,7a01f8d3f1399b86f5b5c0e84a99bcb8359287412c539777e54631e31da76beb,3946,csv
results/data/stage7a_6/formal/budget_05/topology_inventory.csv,2b9ef952e5716fbd0cd037d48001493259233d7970fa825c1e6e4638b2fe8b86,1376,csv
results/data/stage7a_6/formal/budget_05/topology_summary.csv,8e54a86abd469b74bd4cf2a066f700e5c1ef97bb484ebf776e51b9a31b237eb5,7411,csv
