relative_path,sha256,size_bytes,artifact_type
results/data/stage7a_6/formal/budget_07/calibration.csv,52e02c59ff46105cac2b918b5ab02e439b82b89dcab48221faf40d7f65977c1f,1521,csv
results/data/stage7a_6/formal/budget_07/candidate_audit.csv,82f5fb90f54df5f44a42e8a5af6b3defd257ff546af18a7c1a0be22a0721a30c,729931,csv
results/data/stage7a_6/formal/budget_07/config_snapshot.mat,9ac29ed95719ecc5276e3086f745c815967637f3ed9bb5a7c2fb7363bdb953ad,3934,mat
results/data/stage7a_6/formal/budget_07/metadata.csv,40c0e60ce69c427e96bf1f44715e52d29fa1867e9c4794423bca50192e0e8137,582,csv
results/data/stage7a_6/formal/budget_07/samples.csv,478c03a175d1e3943cd15b0ef5df5bac8584295a5d6fecd813224263f707a142,367977,csv
results/data/stage7a_6/formal/budget_07/seed_manifest.csv,cb7c9db8a5a31c1d80b0a987be30f0fada794b242fbed9a856db0756020041e0,203,csv
results/data/stage7a_6/formal/budget_07/source_inventory.csv,b689c5f4b841a95aefb9613b87139a99ff8d54aa1f7fc0f54c8c954627631423,1482,csv
results/data/stage7a_6/formal/budget_07/summary.csv,5254eb3148d8f9460e234b888d3bad2e083310c29191c9b4c150db09f7d6b35a,3960,csv
results/data/stage7a_6/formal/budget_07/topology_inventory.csv,2b9ef952e5716fbd0cd037d48001493259233d7970fa825c1e6e4638b2fe8b86,1376,csv
results/data/stage7a_6/formal/budget_07/topology_summary.csv,c8a16e632a8032c4d47a9fc829cdd261f14f7b195f888373a7b45bc52edce4bd,7413,csv
