relative_path,sha256,size_bytes,artifact_type
results/data/stage7a_6/formal/budget_17/calibration.csv,3239598b32188a87bf984a70561663980a607e0c900a7582fd79713a05735e21,1524,csv
results/data/stage7a_6/formal/budget_17/candidate_audit.csv,80010a18a3fcb562bc76b6769140f39c4075f009b700315bfd0882aca19ad99d,1208961,csv
results/data/stage7a_6/formal/budget_17/config_snapshot.mat,1314c30178b43afa15fa4f3656f6c48a967183575f234491096da61958ff3aad,3929,mat
results/data/stage7a_6/formal/budget_17/metadata.csv,348fc6181d26b5c70ad029b8e7fb77ed0fd79a58d344180a60738c803bc60a79,583,csv
results/data/stage7a_6/formal/budget_17/samples.csv,ced87cae68871c930ecf4b6cebe8a66b60a960c8b5a2a5a126790e1d35aaa01a,373979,csv
results/data/stage7a_6/formal/budget_17/seed_manifest.csv,cb7c9db8a5a31c1d80b0a987be30f0fada794b242fbed9a856db0756020041e0,203,csv
results/data/stage7a_6/formal/budget_17/source_inventory.csv,b689c5f4b841a95aefb9613b87139a99ff8d54aa1f7fc0f54c8c954627631423,1482,csv
results/data/stage7a_6/formal/budget_17/summary.csv,d8a8c55d68a5021d5f09dd2f3fead415b6cbe1ec3bfe95652f50117d7cf3db9d,4076,csv
results/data/stage7a_6/formal/budget_17/topology_inventory.csv,2b9ef952e5716fbd0cd037d48001493259233d7970fa825c1e6e4638b2fe8b86,1376,csv
results/data/stage7a_6/formal/budget_17/topology_summary.csv,d3a8f55be094322a4aa34f05fc49924e543e01fb93c16af1505a4ffbe7f58cd4,7574,csv
