relative_path,sha256,size_bytes,artifact_type
results/data/stage7a_6/formal/budget_03/calibration.csv,6a0eca779177a8b828a3157278655c253182125766e064fc1dd0a34baed0af3f,1502,csv
results/data/stage7a_6/formal/budget_03/candidate_audit.csv,de6ad26fc59737fc4e7d46e8dd9cc9b71b30b63052ba9f736c3fbeaf39bb9a45,420020,csv
results/data/stage7a_6/formal/budget_03/config_snapshot.mat,a828e391b43e0144c832c7bfb58976ac0e292bfb1df71a49673d5d48cd9c7ce1,3935,mat
results/data/stage7a_6/formal/budget_03/metadata.csv,b0ef661ad6154a450e5985e5056d2d05617a2e5fc8542d60e207875442d78411,582,csv
results/data/stage7a_6/formal/budget_03/samples.csv,d9d9f6e69e4c5c7aecfb4f7a86d4524ce610d00e5a4113a9a35865092ca515b5,358200,csv
results/data/stage7a_6/formal/budget_03/seed_manifest.csv,cb7c9db8a5a31c1d80b0a987be30f0fada794b242fbed9a856db0756020041e0,203,csv
results/data/stage7a_6/formal/budget_03/source_inventory.csv,b689c5f4b841a95aefb9613b87139a99ff8d54aa1f7fc0f54c8c954627631423,1482,csv
results/data/stage7a_6/formal/budget_03/summary.csv,11f95e0e1c4703eaafe5288731e51ec6b089fd2aacbec0be3b0bd1c9281e62a2,3910,csv
results/data/stage7a_6/formal/budget_03/topology_inventory.csv,2b9ef952e5716fbd0cd037d48001493259233d7970fa825c1e6e4638b2fe8b86,1376,csv
results/data/stage7a_6/formal/budget_03/topology_summary.csv,d2503b34986107886a179e64e3118c46771935c76c94a7451d142430aa0468c4,7396,csv
